precinct,crime,lastweek2024,lastweek2023,week_pct_change,lastmonth2024,lastmonth2023,month_pct_change,yeartodate2024,yeartodate2023,yeartodate_pct_change,ytd_2yr_pct_change,ytd_14yr_pct_change,ytd_31yr_pct_change,lastdate,type
1,Murder,0,0,NA,0,0,NA,0,0,NA,-100,NA,-100,2026-04-19,Violent
1,Rape,0,1,-100,1,2,-50,1,9,-88.9,-80,NA,-66.7,2026-04-19,Violent
1,Robbery,4,1,300,13,18,-27.8,37,44,-15.9,2.8,76.2,-86.4,2026-04-19,Property
1,Felony Assault,5,2,150,12,18,-33.3,65,44,47.7,32.7,306.2,18.2,2026-04-19,Violent
1,Burglary,4,6,-33.3,14,18,-22.2,54,56,-3.6,-20.6,-11.5,-79.3,2026-04-19,Property
1,Grand Larceny,20,23,-13,98,90,8.9,355,374,-5.1,12.3,9.9,-64.8,2026-04-19,Property
1,Motor Vehicle Theft,1,1,0,8,7,14.3,17,12,41.7,70,240,-93.3,2026-04-19,Property
1,Total Major Felonies,34,34,0,146,153,-4.6,529,539,-1.9,9.1,24.2,-71.6,2026-04-19,Combined Total
1,Transit System Crimes,2,0,NA,6,13,-53.8,14,38,-63.2,-33.3,-39.1,NA,2026-04-19,Other/Mixed Category
1,Housing System Crimes,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,2026-04-19,Other/Mixed Category
1,Petty Theft,63,55,14.5,217,249,-12.9,762,1041,-26.8,-37.3,61.1,NA,2026-04-19,Property
1,Retail Theft,53,44,20.5,199,233,-14.6,731,1020,-28.3,-39.6,NA,NA,2026-04-19,Other/Mixed Category
1,Misdemeanor Assault,7,14,-50,34,43,-20.9,118,144,-18.1,-13.9,68.6,NA,2026-04-19,Violent
1,Rape (FBI/UCR Definition),1,1,0,2,3,-33.3,2,12,-83.3,-66.7,NA,NA,2026-04-19,Violent
1,Other Sex Crimes,4,0,NA,8,12,-33.3,22,27,-18.5,-24.1,NA,NA,2026-04-19,Other/Mixed Category
1,Shooting Victims,1,0,NA,1,0,NA,1,0,NA,NA,NA,-66.7,2026-04-19,Other/Mixed Category
1,Shooting Incidents,1,0,NA,1,0,NA,1,0,NA,NA,NA,-66.7,2026-04-19,Other/Mixed Category
5,Murder,0,0,NA,0,0,NA,0,0,NA,NA,NA,-100,2026-04-19,Violent
5,Rape,0,1,-100,1,1,0,5,5,0,150,66.7,25,2026-04-19,Violent
5,Robbery,2,6,-66.7,14,17,-17.6,45,46,-2.2,40.6,73.1,-78.3,2026-04-19,Property
5,Felony Assault,7,1,600,18,19,-5.3,71,56,26.8,16.4,47.9,2.9,2026-04-19,Violent
5,Burglary,6,6,0,11,12,-8.3,58,34,70.6,9.4,20.8,-74.2,2026-04-19,Property
5,Grand Larceny,15,15,0,53,39,35.9,198,190,4.2,-5.3,34.7,-51.9,2026-04-19,Property
5,Motor Vehicle Theft,0,0,NA,2,0,NA,3,5,-40,-70,-25,-97.1,2026-04-19,Property
5,Total Major Felonies,30,29,3.4,99,88,12.5,380,336,13.1,3.5,37.7,-62.9,2026-04-19,Combined Total
5,Transit System Crimes,1,1,0,4,1,300,22,17,29.4,57.1,83.3,NA,2026-04-19,Other/Mixed Category
5,Housing System Crimes,0,1,-100,1,2,-50,15,16,-6.2,-6.2,25,NA,2026-04-19,Other/Mixed Category
5,Petty Theft,25,20,25,78,93,-16.1,316,354,-10.7,-14.1,1.6,NA,2026-04-19,Property
5,Retail Theft,17,15,13.3,44,64,-31.2,208,262,-20.6,-31.8,NA,NA,2026-04-19,Other/Mixed Category
5,Misdemeanor Assault,7,9,-22.2,32,42,-23.8,113,128,-11.7,-8.9,46.8,NA,2026-04-19,Violent
5,Rape (FBI/UCR Definition),1,1,0,2,1,100,10,5,100,42.9,NA,NA,2026-04-19,Violent
5,Other Sex Crimes,2,1,100,12,9,33.3,32,19,68.4,39.1,NA,NA,2026-04-19,Other/Mixed Category
5,Shooting Victims,0,0,NA,0,0,NA,0,0,NA,NA,NA,-100,2026-04-19,Other/Mixed Category
5,Shooting Incidents,0,0,NA,0,0,NA,0,0,NA,NA,NA,-100,2026-04-19,Other/Mixed Category
6,Murder,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,2026-04-19,Violent
6,Rape,1,1,0,2,2,0,4,4,0,300,100,-20,2026-04-19,Violent
6,Robbery,2,3,-33.3,4,9,-55.6,19,27,-29.6,-59.6,-53.7,-92.6,2026-04-19,Property
6,Felony Assault,1,3,-66.7,10,10,0,35,31,12.9,25,20.7,-47,2026-04-19,Violent
6,Burglary,5,5,0,12,12,0,68,49,38.8,4.6,6.2,-68.8,2026-04-19,Property
6,Grand Larceny,26,13,100,70,63,11.1,222,264,-15.9,-23.4,-21.8,-66.3,2026-04-19,Property
6,Motor Vehicle Theft,1,0,NA,2,1,100,9,4,125,-30.8,-10,-96.2,2026-04-19,Property
6,Total Major Felonies,36,25,44,100,97,3.1,357,379,-5.8,-19.6,-17,-75.2,2026-04-19,Combined Total
6,Transit System Crimes,1,1,0,2,6,-66.7,13,21,-38.1,-18.8,-40.9,NA,2026-04-19,Other/Mixed Category
6,Housing System Crimes,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,2026-04-19,Other/Mixed Category
6,Petty Theft,33,21,57.1,112,98,14.3,378,425,-11.1,-24.6,-10.4,NA,2026-04-19,Property
6,Retail Theft,20,18,11.1,63,69,-8.7,236,315,-25.1,-43.9,NA,NA,2026-04-19,Other/Mixed Category
6,Misdemeanor Assault,10,7,42.9,34,21,61.9,93,94,-1.1,-14.7,43.1,NA,2026-04-19,Violent
6,Rape (FBI/UCR Definition),1,1,0,2,2,0,6,5,20,200,NA,NA,2026-04-19,Violent
6,Other Sex Crimes,0,1,-100,3,5,-40,10,23,-56.5,-50,NA,NA,2026-04-19,Other/Mixed Category
6,Shooting Victims,0,0,NA,0,0,NA,0,0,NA,NA,NA,-100,2026-04-19,Other/Mixed Category
6,Shooting Incidents,0,0,NA,0,0,NA,0,0,NA,NA,NA,-100,2026-04-19,Other/Mixed Category
7,Murder,0,0,NA,0,0,NA,0,2,-100,NA,-100,-100,2026-04-19,Violent
7,Rape,0,0,NA,0,1,-100,1,2,-50,-75,-50,0,2026-04-19,Violent
7,Robbery,0,2,-100,3,13,-76.9,16,40,-60,-44.8,-59,-93,2026-04-19,Property
7,Felony Assault,3,1,200,13,22,-40.9,59,66,-10.6,-16.9,47.5,7.3,2026-04-19,Violent
7,Burglary,3,2,50,12,6,100,42,35,20,2.4,162.5,-58,2026-04-19,Property
7,Grand Larceny,8,6,33.3,43,21,104.8,142,105,35.2,23.5,129,10.9,2026-04-19,Property
7,Motor Vehicle Theft,2,1,100,2,1,100,4,3,33.3,-73.3,-73.3,-96.4,2026-04-19,Property
7,Total Major Felonies,16,12,33.3,73,64,14.1,264,253,4.3,-4,50.9,-58,2026-04-19,Combined Total
7,Transit System Crimes,0,1,-100,1,4,-75,9,10,-10,125,200,NA,2026-04-19,Other/Mixed Category
7,Housing System Crimes,3,1,200,10,13,-23.1,59,49,20.4,-6.3,47.5,NA,2026-04-19,Other/Mixed Category
7,Petty Theft,30,18,66.7,91,85,7.1,327,305,7.2,-6.3,75.8,NA,2026-04-19,Property
7,Retail Theft,17,10,70,50,46,8.7,184,172,7,-17.1,NA,NA,2026-04-19,Other/Mixed Category
7,Misdemeanor Assault,12,9,33.3,38,43,-11.6,124,121,2.5,-7.5,36.3,NA,2026-04-19,Violent
