precinct,total00,total01,total02,total03,total04,total05,total06,total07,total08,total09,total10,total11,total12,total13,total14,total15,total16,total17,total18,total19,total20,total21,yeartodate2022
1,2358,2117,1896,1803,1708,1624,1462,1395,1258,1122,1065,979,985,1051,896,1114,1081,1068,1085,1044,667,848,883
5,824,697,687,681,688,674,605,582,573,528,582,560,548,599,536,559,563,545,531,585,358,421,454
6,1393,1245,1164,1233,1344,1326,1283,1214,1131,1100,1053,992,1124,1253,1127,1126,1003,998,1031,1072,721,865,976
7,258,233,243,245,269,309,362,328,340,275,284,316,350,362,372,409,440,461,518,507,454,592,580
9,1012,742,811,839,835,797,775,819,797,807,759,750,802,904,876,878,961,841,835,764,577,815,759
10,680,401,306,698,799,827,860,833,789,728,651,627,764,762,709,736,726,653,744,804,530,529,520
13,1848,1758,1779,1800,1963,1787,1708,1644,1642,1595,1481,1424,1467,1615,1433,1397,1371,1254,1376,1395,910,828,732
14,4870,4257,3628,3545,3449,3198,3056,2948,2793,2473,2325,2171,2176,2138,2090,2059,2121,1962,2005,1989,1163,1458,1655
17,1363,1338,1220,1287,1175,933,957,920,891,741,745,694,721,766,634,721,742,755,748,834,577,548,483
18,4015,3926,3260,3042,3031,2680,2185,2105,2091,1967,1809,1758,1830,1753,1831,1773,1862,1838,1875,1846,1081,1349,1400
19,2326,2263,2112,2116,2138,1834,1848,1715,1580,1304,1291,1232,1452,1548,1402,1414,1435,1444,1465,1658,1348,1215,1265
20,998,891,797,885,1072,994,883,880,776,729,678,629,721,712,674,645,641,712,656,605,491,744,616
22,54,75,77,50,55,54,75,57,65,40,63,70,76,73,48,50,46,36,27,37,32,27,19
23,236,258,254,293,293,331,282,274,272,267,252,261,320,383,342,330,315,315,296,297,346,383,354
24,483,492,584,536,665,721,647,584,551,464,528,449,576,547,563,597,671,617,598,537,346,475,387
25,176,163,207,245,266,290,286,315,334,276,230,239,319,365,319,366,391,465,478,461,417,401,478
26,380,333,292,363,343,365,367,347,331,272,268,269,324,343,311,302,309,329,381,334,241,273,254
28,252,152,167,172,200,288,344,286,363,300,301,308,350,352,329,378,426,440,445,348,317,384,292
30,189,151,165,225,255,280,275,219,223,172,144,180,230,244,250,247,240,291,321,289,264,334,269
103,630,617,530,493,501,483,544,598,515,463,419,405,495,487,493,504,471,511,466,450,439,477,429
104,449,542,620,551,592,555,514,430,533,500,431,543,529,572,575,529,545,523,531,607,599,592,476
105,481,466,497,571,602,627,551,528,494,464,442,452,488,520,592,679,633,609,589,648,580,493,467
106,459,363,319,294,360,392,378,389,411,388,366,378,485,522,537,600,544,489,502,549,525,516,486
32,253,217,229,240,301,289,354,309,315,280,293,302,315,297,297,305,282,267,329,315,321,320,261
33,185,193,251,252,292,228,219,244,258,231,271,242,276,357,327,305,302,262,271,264,256,363,219
34,299,274,316,322,351,387,367,375,433,379,385,374,339,433,456,516,563,631,592,557,444,589,428
40,413,378,416,449,448,460,442,485,435,369,430,405,482,586,488,645,746,802,774,722,730,737,548
41,184,180,210,197,236,238,237,245,243,292,274,292,321,403,378,334,336,288,343,311,294,335,300
42,207,220,204,231,226,254,339,354,322,251,230,247,288,320,305,299,300,410,356,391,400,488,375
43,514,533,574,638,624,705,699,706,688,631,574,601,687,708,693,710,692,680,663,612,680,814,751
44,534,420,344,376,430,417,485,531,529,501,396,446,598,642,712,730,744,774,668,729,671,827,713
45,412,473,580,552,515,496,459,444,458,463,480,403,402,439,519,599,514,503,555,543,427,500,406
46,364,430,450,378,433,532,449,459,450,349,295,381,410,441,431,446,525,509,478,504,570,640,440
47,328,225,259,298,393,446,367,351,314,294,309,295,408,491,433,517,659,717,520,513,433,543,554
48,277,286,333,330,334,343,388,343,355,327,321,353,473,506,508,485,485,487,424,401,421,477,334
49,476,364,564,541,445,499,503,481,447,450,454,454,421,360,364,440,435,493,439,421,397,439,450
50,370,278,316,317,356,383,375,379,400,373,363,386,421,415,417,471,469,522,458,500,461,496,497
52,505,547,548,474,612,600,571,609,641,547,556,635,634,737,706,668,636,640,679,726,611,727,478
